Year,National Health Expenditures,Health Consumption Expenditures,Total,Hospital Care,Physician and Clinical Services,Other Professional Services,Dental Services,Other Health Residential and Personal,Home Health Care,Nursing Care,Prescription Drugs,Durable Medical Equipment,Other Non-Durable Equipment
1980-01-01,255.68293171139,235.5802262948,217.10231534108,100.51677638541,47.715300018054,3.478186,13.333174088291,8.5073402875465,2.378061153,15.269635058663,12.04899999968,4.0538423504308,9.801
1979-12-31,221.56950704464,204.56042885176,187.15933131119,86.162237650334,41.197386158518,2.847116,11.903299776356,6.8310688060393,1.8994048020001,13.343864897569,10.74399999968,3.7809532206952,8.45
1979-01-01,221.56950704464,204.56042885176,187.15933131119,86.162237650334,41.197386158518,2.847116,11.903299776356,6.8310688060393,1.8994048020001,13.343864897569,10.74399999968,3.7809532206952,8.45
1978-12-31,195.44863137965,180.03717058343,164.26879889605,75.620844161622,35.835970524595,2.402801,10.966893233307,5.5667357185879,1.5563710710001,11.844660493391,9.89099999971,3.4465226938385,7.137
1978-01-01,195.44863137965,180.03717058343,164.26879889605,75.620844161622,35.835970524595,2.402801,10.966893233307,5.5667357185879,1.5563710710001,11.844660493391,9.89099999971,3.4465226938385,7.137
1977-12-31,173.895563389,159.92596127726,146.68149305631,67.023223829847,33.098376803773,2.0578,10.064533441536,4.5477550004626,1.1472668689999,10.258751626766,9.1959999997397,3.2047854851881,6.083
1977-01-01,173.895563389,159.92596127726,146.68149305631,67.023223829847,33.098376803773,2.0578,10.064533441536,4.5477550004626,1.1472668689999,10.258751626766,9.1959999997397,3.2047854851881,6.083
1976-12-31,152.96564980534,139.31299574203,129.3472699246,59.402470844488,28.687990159577,1.5639627256136,8.9806485728271,3.6172938220895,0.895634446,9.0573272971548,8.7219999997548,2.9869420570903,5.433
1976-01-01,152.96564980534,139.31299574203,129.3472699246,59.402470844488,28.687990159577,1.5639627256136,8.9806485728271,3.6172938220895,0.895634446,9.0573272971548,8.7219999997548,2.9869420570903,5.433
1975-12-31,133.51963468205,121.09503572495,113.21787221315,51.233583113495,25.303974168098,1.3370914475102,7.9625770010514,2.9345337832362,0.6225567119999,8.0218619762709,8.0519999998326,2.8006940116503,4.949
1975-01-01,133.51963468205,121.09503572495,113.21787221315,51.233583113495,25.303974168098,1.3370914475102,7.9625770010514,2.9345337832362,0.6225567119999,8.0218619762709,8.0519999998326,2.8006940116503,4.949
1974-12-31,117.09330031748,105.86033347375,98.772043586116,44.139273048996,22.207367121566,1.1634401007581,7.082843378083,2.4093424957436,0.4233937869999,6.9277472681331,7.4219999998698,2.5056363859662,4.491
1974-01-01,117.09330031748,105.86033347375,98.772043586116,44.139273048996,22.207367121566,1.1634401007581,7.082843378083,2.4093424957436,0.4233937869999,6.9277472681331,7.4219999998698,2.5056363859662,4.491
1973-12-31,103.31211125769,93.068441111458,86.143992508095,37.920212926845,19.555177490317,1.0223385506879,6.3291499406109,2.0196513503568,0.2758396479999,5.9743198862151,6.8169999998477,2.247302715214,3.983
1973-01-01,103.31211125769,93.068441111458,86.143992508095,37.920212926845,19.555177490317,1.0223385506879,6.3291499406109,2.0196513503568,0.2758396479999,5.9743198862151,6.8169999998477,2.247302715214,3.983
1972-12-31,93.086429666166,83.321340793634,77.147933752797,33.846109462548,17.695698453192,0.8931175281193,5.5218978717778,1.7159861948998,0.219680543,5.2274831269004,6.3239999998772,2.0319605724825,3.6720000000001
1972-01-01,93.086429666166,83.321340793634,77.147933752797,33.846109462548,17.695698453192,0.8931175281193,5.5218978717778,1.7159861948998,0.219680543,5.2274831269004,6.3239999998772,2.0319605724825,3.6720000000001
